source,identifier,datetime,price
evroopt,1207465,2022-02-12 08:47:32,
evroopt,440852,2022-02-12 08:47:32,
evroopt,601522,2022-02-12 08:47:32,6.29
evroopt,567997,2022-02-12 08:47:32,
evroopt,696039,2022-02-12 08:47:32,
evroopt,474138,2022-02-12 08:47:32,
evroopt,911715,2022-02-12 08:47:32,1.75
evroopt,568002,2022-02-12 08:47:32,1.85
evroopt,322984,2022-02-12 08:47:32,2
evroopt,819616,2022-02-12 08:47:32,2.05
evroopt,761990,2022-02-12 08:47:32,3.56
evroopt,967482,2022-02-12 08:47:32,3.27
evroopt,761983,2022-02-12 08:47:32,3.37
evroopt,761994,2022-02-12 08:47:32,3.71
evroopt,684114,2022-02-12 08:47:32,2.5
evroopt,880935,2022-02-12 08:47:32,2.39
evroopt,598810,2022-02-12 08:47:32,2.6
evroopt,225378,2022-02-12 08:47:32,
evroopt,35073,2022-02-12 08:47:32,2.54
evroopt,24541,2022-02-12 08:47:32,2.62
evroopt,379379,2022-02-12 08:47:32,2.66
evroopt,1222130,2022-02-12 08:47:32,
evroopt,1192,2022-02-12 08:47:32,0.89
evroopt,1057058,2022-02-12 08:47:32,
evroopt,882055,2022-02-12 08:47:32,0.84
evroopt,533163,2022-02-12 08:47:32,0.82
evroopt,560208,2022-02-12 08:47:32,0.86
evroopt,1256057,2022-02-12 08:47:32,0.59
evroopt,33827,2022-02-12 08:47:32,
evroopt,365111,2022-02-12 08:47:32,
evroopt,537240,2022-02-12 08:47:32,4.06
evroopt,457685,2022-02-12 08:47:32,4.01
